id,uri,observed_on,latitude,longitude,quality_grade,public_positional_accuracy,taxon.name,taxon.preferred_common_name,taxon.rank,user.login,within_property
24959276,https://www.inaturalist.org/observations/24959276,2019-05-11,40.3525404,-75.3810646,research,8.0,Pyrus calleryana,Callery pear,species,jcorven,False
43358061,https://www.inaturalist.org/observations/43358061,2020-04-25,38.9797975,-76.9526916,needs_id,24.0,Spiraea × vanhouttei,Van Houtte's Spirea,hybrid,bombus_frankii,False
44297362,https://www.inaturalist.org/observations/44297362,2020-04-29,38.9797986,-76.9527023,needs_id,36.0,Photinia,Christmas berries,genus,bombus_frankii,False
45632619,https://www.inaturalist.org/observations/45632619,2020-05-11,38.97869419,-76.94494132,needs_id,6.0,Morus alba,white mulberry,species,bombus_frankii,False
51018392,https://www.inaturalist.org/observations/51018392,2020-06-26,38.9798424,-76.9528134,research,44.0,Rubus phoenicolasius,wineberry,species,bombus_frankii,False
53515521,https://www.inaturalist.org/observations/53515521,,39.4179456299,-76.8788909912,casual,2104.0,Prunella vulgaris,common selfheal,species,bombus_frankii,False
53539729,https://www.inaturalist.org/observations/53539729,2020-07-18,39.4426029722,-76.9000599722,research,,Impatiens capensis,common jewelweed,species,bombus_frankii,False
53625250,https://www.inaturalist.org/observations/53625250,2020-07-19,38.97985653,-76.95288542,research,6.0,Geum canadense,white avens,species,bombus_frankii,False
53885597,https://www.inaturalist.org/observations/53885597,2020-07-21,38.9797765,-76.9527138,research,33.0,Acalypha virginica,Virginia Three-seed Mercury,species,bombus_frankii,False
53885829,https://www.inaturalist.org/observations/53885829,2020-07-21,38.97983695,-76.95276069,research,4.0,Artemisia vulgaris,common mugwort,species,bombus_frankii,False
53887117,https://www.inaturalist.org/observations/53887117,2020-07-21,38.9797989,-76.9525981,needs_id,30.0,Viola,violets,genus,bombus_frankii,False
53957830,https://www.inaturalist.org/observations/53957830,2020-07-22,38.97994463,-76.95308249,research,9.0,Persicaria longiseta,low smartweed,species,bombus_frankii,False
54286965,https://www.inaturalist.org/observations/54286965,2020-07-25,38.95088184,-76.94448157,research,8.0,Calystegia sepium,hedge bindweed,species,bombus_frankii,False
54667280,https://www.inaturalist.org/observations/54667280,2020-07-28,38.979945,-76.953427,research,,Niesthrea louisianica,Hibiscus Scentless Plant Bug,species,bombus_frankii,False
